Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 100.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
300	2.07	-0.27(-0.27)	2.35(46.9)
300	0.41	-0.42(-0.42)	0.83(166)
340	-0.34	-0.36(-0.36)	0.02(350)
340	-0.34	-0.34(-0.34)	0.0(421)
310	-0.46	-1.09(-1.09)	0.62(124)
310	1.07	-0.92(-0.92)	1.98(39.7)
350	-0.21	-0.23(-0.23)	0.02(385)
350	-0.21	-0.21(-0.21)	0.0(465)
320	0.15	-0.54(-0.54)	0.69(137)
320	1.68	-0.31(-0.31)	1.99(39.7)
360	-0.35	-0.37(-0.37)	0.02(341)
360	-0.35	-0.35(-0.35)	0.0(412)
330	-0.3	-0.8(-0.8)	0.5(99.7)
330	0.63	-0.58(-0.58)	1.2(24.1)
370	-0.26	-0.28(-0.28)	0.02(371)
370	-0.27	-0.27(-0.27)	0.0(451)
340	-0.32	-0.85(-0.85)	0.54(107)
340	0.86	-0.52(-0.52)	1.38(27.6)
380	-0.24	-0.26(-0.26)	0.02(385)
380	-0.25	-0.25(-0.25)	0.0(467)
350	0.17	-0.4(-0.4)	0.57(114)
390	-0.4	-0.42(-0.42)	0.02(420)
350	1.2	-0.15(-0.15)	1.35(26.9)
390	-0.41	-0.41(-0.41)	0.0(511)
400	0.01	-0.02(-0.02)	0.02(420)
360	-0.23	-0.74(-0.74)	0.51(103)
360	0.6	-0.59(-0.59)	1.19(23.9)
400	-0.01	-0.02(-0.02)	0.0(510)
370	-0.05	-0.59(-0.59)	0.54(107)
370	0.88	-0.31(-0.31)	1.19(23.9)
380	0.06	-0.51(-0.51)	0.57(114)
380	1.03	-0.24(-0.24)	1.27(25.4)
390	-0.32	-0.93(-0.93)	0.61(121)
390	0.61	-0.74(-0.74)	1.35(27.1)
400	0.82	0.21(0.21)	0.61(123)
400	1.75	0.39(0.39)	1.36(27.3)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470835'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.19	0.16(0.16)	0.04(712)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470835'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470835'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.01, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470835'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.16	0.16(0.16)	0.0(712)
0	3.72	0.16(0.16)	3.56(712)
0	0.51	0.16(0.16)	0.36(712)
10	0.17	0.13(0.13)	0.04(729)
10	0.13	0.13(0.13)	0.0(736)
10	2.85	0.15(0.15)	2.7(540)
10	0.46	0.13(0.13)	0.33(668)
20	0.13	0.09(0.09)	0.04(799)
20	0.1	0.09(0.09)	0.0(813)
20	2.11	0.11(0.11)	2.0(400)
20	0.42	0.09(0.09)	0.33(667)
30	0.14	0.11(0.11)	0.04(720)
30	1.18	0.11(0.11)	1.06(213)
30	0.11	0.11(0.11)	0.0(739)
30	0.37	0.1(0.1)	0.27(546)
40	0.06	0.02(0.02)	0.03(699)
40	0.48	0.02(0.02)	0.46(91.2)
40	0.03	0.02(0.02)	0.0(723)
40	0.24	0.01(0.01)	0.24(477)
50	0.12	0.07(0.07)	0.05(928)
50	0.29	0.08(0.08)	0.21(42.7)
50	0.08	0.08(0.08)	0.0(970)
50	0.34	0.06(0.06)	0.28(558)
60	0.08	0.04(0.04)	0.03(654)
60	0.17	0.05(0.05)	0.13(25.1)
60	0.05	0.05(0.05)	0.0(690)
60	0.19	0.02(0.02)	0.17(342)
70	0.07	0.04(0.04)	0.03(595)
70	0.13	0.03(0.03)	0.1(19.9)
70	0.04	0.04(0.04)	0.0(633)
70	0.15	0.01(0.01)	0.14(282)
80	0.03	-0.0(-0.0)	0.03(569)
80	0.16	0.04(0.04)	0.13(25.2)
80	0.01	0.0(0.0)	0.0(612)
80	0.08	-0.03(-0.03)	0.12(232)
90	0.06	0.03(0.03)	0.03(646)
90	0.2	0.07(0.07)	0.13(26.4)
90	0.03	0.03(0.03)	0.0(700)
90	0.14	0.02(0.02)	0.12(241)
100	0.08	-0.01(-0.01)	0.09(18.0)
100	-0.01	-0.04(-0.04)	0.02(488)
100	0.0	-0.07(-0.07)	0.08(158)
100	-0.03	-0.03(-0.03)	0.0(534)
110	0.04	0.01(0.01)	0.03(545)
110	0.16	0.06(0.06)	0.1(20.9)
110	0.08	-0.0(-0.0)	0.08(164)
110	0.02	0.01(0.01)	0.0(601)
120	0.05	0.02(0.02)	0.03(573)
120	0.11	0.04(0.04)	0.08(15.6)
120	0.07	-0.01(-0.01)	0.08(154)
120	0.03	0.03(0.03)	0.0(639)
130	0.02	-0.01(-0.01)	0.03(547)
130	0.1	0.02(0.02)	0.08(16.0)
130	0.03	-0.04(-0.04)	0.07(148)
130	-0.0	-0.01(-0.01)	0.0(614)
140	0.11	0.04(0.04)	0.07(13.3)
140	0.01	-0.01(-0.01)	0.02(458)
140	0.04	-0.02(-0.02)	0.06(117)
140	-0.01	-0.01(-0.01)	0.0(518)
150	-0.0	-0.03(-0.03)	0.03(624)
150	0.05	-0.08(-0.08)	0.12(24.9)
150	-0.03	-0.11(-0.11)	0.07(150)
150	-0.02	-0.03(-0.03)	0.0(713)
160	0.04	-0.06(-0.06)	0.09(18.9)
160	-0.02	-0.04(-0.04)	0.02(497)
160	-0.03	-0.09(-0.09)	0.06(117)
160	-0.04	-0.04(-0.04)	0.0(572)
170	0.07	-0.02(-0.02)	0.09(18.5)
170	-0.01	-0.03(-0.03)	0.03(548)
170	-0.02	-0.03(-0.03)	0.0(636)
170	-0.0	-0.07(-0.07)	0.07(133)
180	0.04	-0.03(-0.03)	0.07(13.2)
180	-0.05	-0.07(-0.07)	0.02(376)
180	-0.03	-0.08(-0.08)	0.05(92.2)
180	-0.06	-0.06(-0.06)	0.0(438)
190	-0.05	-0.12(-0.12)	0.07(13.5)
190	-0.09	-0.11(-0.11)	0.02(410)
190	-0.11	-0.16(-0.16)	0.05(97.9)
190	-0.1	-0.1(-0.1)	0.0(482)
200	0.1	0.01(0.01)	0.09(17.6)
200	-0.0	-0.03(-0.03)	0.03(513)
200	0.02	-0.04(-0.04)	0.06(121)
200	-0.02	-0.02(-0.02)	0.0(608)
210	-0.0	-0.03(-0.03)	0.03(521)
210	0.08	-0.01(-0.01)	0.09(17.9)
210	0.01	-0.06(-0.06)	0.06(124)
210	-0.02	-0.02(-0.02)	0.0(621)
220	0.04	0.02(0.02)	0.03(523)
220	0.18	0.09(0.09)	0.09(18.8)
220	0.08	0.02(0.02)	0.06(115)
220	0.02	0.02(0.02)	0.0(630)
230	0.02	-0.01(-0.01)	0.03(516)
230	0.1	0.01(0.01)	0.09(18.6)
230	0.02	-0.04(-0.04)	0.06(119)
230	0.0	-0.0(-0.0)	0.0(623)
240	-0.06	-0.08(-0.08)	0.02(471)
240	0.05	-0.03(-0.03)	0.08(16.7)
240	-0.05	-0.1(-0.1)	0.05(107)
240	-0.07	-0.07(-0.07)	0.0(572)
250	-0.02	-0.05(-0.05)	0.02(474)
250	0.06	-0.01(-0.01)	0.07(14.2)
250	-0.02	-0.07(-0.07)	0.05(100)
250	-0.03	-0.04(-0.04)	0.0(581)
260	-0.05	-0.08(-0.08)	0.02(470)
260	0.03	-0.05(-0.05)	0.07(14.9)
260	-0.06	-0.11(-0.11)	0.05(105)
260	-0.06	-0.06(-0.06)	0.0(576)
270	-0.04	-0.06(-0.06)	0.02(392)
270	0.07	0.01(0.01)	0.07(13.5)
270	-0.02	-0.07(-0.07)	0.05(93.1)
270	-0.05	-0.05(-0.05)	0.0(479)
280	0.15	0.07(0.07)	0.08(15.4)
280	0.01	-0.02(-0.02)	0.02(494)
280	-0.01	-0.01(-0.01)	0.0(613)
280	0.04	-0.01(-0.01)	0.05(104)
290	0.08	0.02(0.02)	0.06(11.9)
290	-0.03	-0.05(-0.05)	0.02(394)
290	-0.04	-0.04(-0.04)	0.0(491)
290	-0.02	-0.06(-0.06)	0.04(80.9)
300	0.08	0.01(0.01)	0.08(15.5)
300	0.01	-0.01(-0.01)	0.03(514)
300	0.0	-0.0(-0.0)	0.0(641)
300	0.01	-0.04(-0.04)	0.05(107)
310	-0.1	-0.12(-0.12)	0.02(406)
310	-0.04	-0.11(-0.11)	0.06(12.7)
310	-0.13	-0.17(-0.17)	0.04(88.4)
310	-0.11	-0.11(-0.11)	0.0(506)
320	-0.02	-0.04(-0.04)	0.02(471)
320	0.05	-0.02(-0.02)	0.07(13.9)
320	-0.02	-0.06(-0.06)	0.05(96.4)
320	-0.03	-0.03(-0.03)	0.0(590)
330	-0.07	-0.09(-0.09)	0.02(371)
330	-0.0	-0.06(-0.06)	0.06(11.1)
330	-0.09	-0.12(-0.12)	0.04(76.1)
330	-0.08	-0.08(-0.08)	0.0(465)
340	-0.06	-0.08(-0.08)	0.02(411)
340	0.0	-0.06(-0.06)	0.06(12.5)
340	-0.07	-0.11(-0.11)	0.04(86.1)
340	-0.07	-0.07(-0.07)	0.0(515)
350	0.01	-0.01(-0.01)	0.02(454)
350	0.1	0.04(0.04)	0.07(13.2)
350	0.02	-0.02(-0.02)	0.05(92.6)
350	-0.0	-0.01(-0.01)	0.0(571)
360	-0.07	-0.09(-0.09)	0.02(410)
360	-0.02	-0.08(-0.08)	0.06(12.8)
360	-0.09	-0.13(-0.13)	0.05(90.3)
360	-0.08	-0.08(-0.08)	0.0(512)
370	-0.03	-0.05(-0.05)	0.02(443)
370	-0.02	-0.06(-0.06)	0.04(89.3)
370	0.07	0.01(0.01)	0.06(12.4)
370	-0.04	-0.04(-0.04)	0.0(557)
380	-0.01	-0.03(-0.03)	0.02(465)
380	0.07	-0.0(-0.0)	0.07(14.4)
380	0.01	-0.04(-0.04)	0.05(101)
380	-0.02	-0.03(-0.03)	0.0(582)
390	-0.09	-0.11(-0.11)	0.03(506)
390	-0.07	-0.14(-0.14)	0.07(14.6)
390	-0.12	-0.17(-0.17)	0.05(105)
390	-0.1	-0.1(-0.1)	0.0(635)
400	0.09	0.07(0.07)	0.03(507)
400	0.22	0.14(0.14)	0.08(15.2)
400	0.15	0.09(0.09)	0.05(108)
400	0.07	0.07(0.07)	0.0(636)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.03, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470836'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.16	0.16(0.16)	0.0(712)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.03, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470836'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.03, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470836'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.03, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470836'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.19	0.16(0.16)	0.04(712)
0	3.72	0.16(0.16)	3.56(712)
0	0.51	0.16(0.16)	0.36(712)
10	0.09	0.09(0.09)	0.0(724)
10	0.12	0.08(0.08)	0.04(706)
10	1.14	0.08(0.08)	1.06(213)
10	0.34	0.07(0.07)	0.27(542)
20	0.06	0.06(0.06)	0.0(783)
20	0.4	0.07(0.07)	0.33(65.4)
20	0.09	0.05(0.05)	0.04(746)
20	0.25	0.04(0.04)	0.21(422)
30	0.08	0.08(0.08)	0.0(700)
30	0.45	0.1(0.1)	0.36(71.0)
30	0.11	0.08(0.08)	0.03(653)
30	0.21	0.07(0.07)	0.15(293)
40	0.0	0.0(0.0)	0.0(678)
40	0.22	0.0(0.0)	0.21(42.8)
40	0.03	-0.0(-0.0)	0.03(620)
40	0.1	-0.02(-0.02)	0.12(250)
50	0.06	0.06(0.06)	0.0(898)
50	0.41	0.06(0.06)	0.34(68.6)
50	0.09	0.05(0.05)	0.04(799)
50	0.18	0.04(0.04)	0.14(278)
60	0.02	0.02(0.02)	0.0(633)
60	0.28	0.04(0.04)	0.24(48.8)
60	0.04	0.02(0.02)	0.03(549)
60	0.09	-0.0(-0.0)	0.09(177)
70	0.02	0.02(0.02)	0.0(574)
70	0.21	0.02(0.02)	0.19(37.6)
70	0.04	0.01(0.01)	0.02(490)
70	0.08	-0.01(-0.01)	0.1(192)
80	-0.02	-0.02(-0.02)	0.0(553)
80	0.33	0.02(0.02)	0.31(61.4)
80	-0.0	-0.03(-0.03)	0.02(462)
80	0.05	-0.04(-0.04)	0.09(185)
90	0.02	0.01(0.01)	0.0(630)
90	0.32	0.05(0.05)	0.27(53.1)
90	0.04	0.01(0.01)	0.03(520)
90	0.13	0.02(0.02)	0.11(216)
100	-0.04	-0.04(-0.04)	0.0(479)
100	0.18	-0.01(-0.01)	0.19(37.0)
100	-0.03	-0.05(-0.05)	0.02(387)
100	0.0	-0.07(-0.07)	0.08(153)
110	-0.0	-0.01(-0.01)	0.0(534)
110	0.27	0.05(0.05)	0.22(44.9)
110	0.01	-0.01(-0.01)	0.02(426)
110	0.08	-0.0(-0.0)	0.08(168)
120	0.02	0.01(0.01)	0.0(566)
120	0.18	0.03(0.03)	0.15(30.6)
120	0.03	0.01(0.01)	0.02(441)
120	0.07	-0.01(-0.01)	0.08(170)
130	-0.01	-0.02(-0.02)	0.0(542)
130	0.19	0.01(0.01)	0.18(35.5)
130	-0.0	-0.03(-0.03)	0.02(422)
130	0.05	-0.04(-0.04)	0.09(174)
140	-0.02	-0.02(-0.02)	0.0(453)
140	0.16	0.03(0.03)	0.13(26.0)
140	-0.0	-0.02(-0.02)	0.02(346)
140	0.05	-0.02(-0.02)	0.07(143)
150	-0.04	-0.04(-0.04)	0.0(620)
150	0.2	-0.06(-0.06)	0.26(52.0)
150	-0.03	-0.06(-0.06)	0.02(466)
150	-0.01	-0.11(-0.11)	0.1(193)
160	-0.05	-0.05(-0.05)	0.0(493)
160	0.13	-0.05(-0.05)	0.18(36.1)
160	-0.04	-0.06(-0.06)	0.02(365)
160	-0.01	-0.09(-0.09)	0.08(157)
170	-0.04	-0.04(-0.04)	0.0(545)
170	0.13	-0.03(-0.03)	0.17(33.0)
170	-0.03	-0.05(-0.05)	0.02(403)
170	0.03	-0.07(-0.07)	0.09(188)
180	-0.08	-0.08(-0.08)	0.0(372)
180	0.09	-0.03(-0.03)	0.12(24.8)
180	-0.07	-0.09(-0.09)	0.01(273)
180	-0.02	-0.09(-0.09)	0.06(126)
190	-0.14	-0.14(-0.14)	0.0(409)
190	0.02	-0.11(-0.11)	0.14(27.8)
190	-0.13	-0.15(-0.15)	0.01(297)
190	-0.1	-0.16(-0.16)	0.07(130)
200	-0.04	-0.05(-0.05)	0.0(514)
200	0.17	-0.0(-0.0)	0.18(35.0)
200	-0.03	-0.05(-0.05)	0.02(368)
200	0.04	-0.05(-0.05)	0.08(168)
210	-0.04	-0.04(-0.04)	0.0(521)
210	0.17	-0.02(-0.02)	0.19(37.9)
210	-0.03	-0.04(-0.04)	0.02(370)
210	0.04	-0.05(-0.05)	0.08(167)
220	0.01	0.01(0.01)	0.0(525)
220	0.27	0.07(0.07)	0.2(40.2)
220	0.03	0.01(0.01)	0.02(366)
220	0.09	0.01(0.01)	0.08(164)
230	-0.02	-0.02(-0.02)	0.0(514)
230	0.17	0.01(0.01)	0.16(32.5)
230	-0.01	-0.03(-0.03)	0.02(358)
230	0.04	-0.04(-0.04)	0.08(164)
240	-0.08	-0.08(-0.08)	0.0(469)
240	0.12	-0.04(-0.04)	0.16(32.2)
240	-0.07	-0.09(-0.09)	0.02(323)
240	-0.03	-0.1(-0.1)	0.07(146)
250	-0.06	-0.07(-0.07)	0.0(475)
250	0.1	-0.02(-0.02)	0.12(23.0)
250	-0.06	-0.07(-0.07)	0.02(321)
250	-0.0	-0.07(-0.07)	0.07(137)
260	-0.09	-0.09(-0.09)	0.0(467)
260	0.04	-0.07(-0.07)	0.11(21.5)
260	-0.09	-0.1(-0.1)	0.02(316)
260	-0.05	-0.12(-0.12)	0.07(135)
270	-0.06	-0.06(-0.06)	0.0(385)
270	0.09	-0.01(-0.01)	0.1(20.0)
270	-0.06	-0.07(-0.07)	0.01(262)
270	-0.01	-0.07(-0.07)	0.06(115)
280	-0.02	-0.03(-0.03)	0.0(490)
280	0.17	0.06(0.06)	0.11(21.7)
280	-0.01	-0.03(-0.03)	0.02(322)
280	0.05	-0.02(-0.02)	0.07(133)
290	-0.06	-0.06(-0.06)	0.0(390)
290	0.09	0.0(0.0)	0.08(16.2)
290	-0.05	-0.07(-0.07)	0.01(253)
290	-0.02	-0.08(-0.08)	0.05(102)
300	-0.02	-0.02(-0.02)	0.0(505)
300	0.1	-0.0(-0.0)	0.1(20.3)
300	-0.02	-0.04(-0.04)	0.02(326)
300	0.02	-0.05(-0.05)	0.07(131)
310	-0.14	-0.14(-0.14)	0.0(396)
310	-0.04	-0.13(-0.13)	0.08(16.5)
310	-0.14	-0.15(-0.15)	0.01(257)
310	-0.13	-0.18(-0.18)	0.05(104)
320	-0.06	-0.06(-0.06)	0.0(460)
320	0.05	-0.04(-0.04)	0.09(17.9)
320	-0.05	-0.07(-0.07)	0.01(293)
320	-0.02	-0.07(-0.07)	0.06(112)
330	-0.11	-0.11(-0.11)	0.0(361)
330	0.01	-0.06(-0.06)	0.07(13.7)
330	-0.11	-0.12(-0.12)	0.01(228)
330	-0.09	-0.13(-0.13)	0.04(86.5)
340	-0.1	-0.1(-0.1)	0.0(398)
340	0.01	-0.07(-0.07)	0.07(14.8)
340	-0.09	-0.11(-0.11)	0.01(252)
340	-0.07	-0.12(-0.12)	0.05(96.1)
350	-0.03	-0.03(-0.03)	0.0(441)
350	0.1	0.03(0.03)	0.08(15.4)
350	-0.02	-0.04(-0.04)	0.01(276)
350	0.02	-0.03(-0.03)	0.05(103)
360	-0.12	-0.12(-0.12)	0.0(395)
360	-0.01	-0.08(-0.08)	0.07(14.8)
360	-0.12	-0.13(-0.13)	0.01(251)
360	-0.08	-0.13(-0.13)	0.05(97.8)
370	-0.06	-0.06(-0.06)	0.0(429)
370	0.07	0.0(0.0)	0.07(14.4)
370	-0.06	-0.07(-0.07)	0.01(268)
370	-0.02	-0.07(-0.07)	0.05(98.1)
380	-0.05	-0.05(-0.05)	0.0(448)
380	0.08	-0.0(-0.0)	0.08(16.5)
380	-0.04	-0.05(-0.05)	0.01(283)
380	0.01	-0.05(-0.05)	0.05(109)
390	-0.14	-0.14(-0.14)	0.0(489)
390	-0.05	-0.13(-0.13)	0.08(16.8)
390	-0.14	-0.15(-0.15)	0.02(307)
390	-0.12	-0.18(-0.18)	0.06(114)
400	0.06	0.06(0.06)	0.0(489)
400	0.23	0.14(0.14)	0.09(17.5)
400	0.08	0.06(0.06)	0.02(308)
400	0.14	0.09(0.09)	0.06(117)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470837'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.51	0.16(0.16)	0.36(712)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470837'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470837'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470837'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.16	0.16(0.16)	0.0(712)
0	3.72	0.16(0.16)	3.56(712)
0	0.19	0.16(0.16)	0.04(712)
10	0.26	0.06(0.06)	0.2(398)
10	0.69	0.05(0.05)	0.64(128)
10	0.1	0.07(0.07)	0.03(692)
10	0.07	0.07(0.07)	0.0(731)
20	0.22	0.03(0.03)	0.19(389)
20	0.63	0.06(0.06)	0.57(113)
20	0.08	0.04(0.04)	0.04(730)
20	0.05	0.05(0.05)	0.0(795)
30	0.28	0.08(0.08)	0.2(396)
30	0.76	0.1(0.1)	0.66(133)
30	0.11	0.08(0.08)	0.03(655)
30	0.08	0.08(0.08)	0.0(719)
40	0.56	0.02(0.02)	0.54(107)
40	0.19	0.0(0.0)	0.19(375)
40	0.06	0.03(0.03)	0.03(647)
40	0.03	0.03(0.03)	0.0(712)
50	0.74	0.06(0.06)	0.68(135)
50	0.3	0.06(0.06)	0.24(484)
50	0.09	0.08(0.08)	0.0(939)
50	0.12	0.08(0.08)	0.04(833)
60	0.58	0.05(0.05)	0.53(107)
60	0.16	0.0(0.0)	0.16(313)
60	0.03	0.03(0.03)	0.0(675)
60	0.05	0.02(0.02)	0.03(596)
70	0.49	0.04(0.04)	0.44(88.8)
70	0.17	0.01(0.01)	0.16(320)
70	0.06	0.03(0.03)	0.03(557)
70	0.04	0.03(0.03)	0.0(622)
80	0.63	0.03(0.03)	0.6(120)
80	0.18	0.0(0.0)	0.17(346)
80	0.04	0.01(0.01)	0.03(560)
80	0.02	0.02(0.02)	0.0(619)
90	0.57	0.05(0.05)	0.52(104)
90	0.22	0.03(0.03)	0.19(374)
90	0.06	0.03(0.03)	0.03(644)
90	0.04	0.03(0.03)	0.0(711)
100	0.38	-0.0(-0.0)	0.38(76.3)
100	0.11	-0.03(-0.03)	0.13(266)
100	-0.01	-0.01(-0.01)	0.0(546)
100	0.0	-0.02(-0.02)	0.02(488)
110	0.68	0.06(0.06)	0.62(124)
110	0.17	0.01(0.01)	0.16(312)
110	0.01	0.01(0.01)	0.0(609)
110	0.03	0.01(0.01)	0.03(543)
120	0.44	0.04(0.04)	0.4(79.9)
120	0.16	0.02(0.02)	0.14(285)
120	0.05	0.05(0.05)	0.0(656)
120	0.07	0.04(0.04)	0.03(576)
130	0.46	0.02(0.02)	0.45(89.4)
130	0.15	-0.0(-0.0)	0.15(303)
130	0.04	0.01(0.01)	0.03(552)
130	0.02	0.02(0.02)	0.0(625)
140	0.37	0.03(0.03)	0.34(67.2)
140	0.13	0.01(0.01)	0.13(250)
140	0.02	0.01(0.01)	0.0(519)
140	0.04	0.01(0.01)	0.02(458)
150	0.43	-0.04(-0.04)	0.47(95.0)
150	0.13	-0.06(-0.06)	0.19(378)
150	0.02	-0.02(-0.02)	0.03(630)
150	-0.01	-0.01(-0.01)	0.0(718)
160	0.09	-0.04(-0.04)	0.14(271)
160	0.39	0.0(0.0)	0.39(78.7)
160	-0.01	-0.01(-0.01)	0.0(579)
160	0.01	-0.02(-0.02)	0.03(511)
170	0.36	-0.02(-0.02)	0.38(75.2)
170	0.11	-0.05(-0.05)	0.16(320)
170	-0.01	-0.01(-0.01)	0.0(644)
170	0.01	-0.02(-0.02)	0.03(572)
180	0.32	-0.01(-0.01)	0.33(65.3)
180	0.04	-0.07(-0.07)	0.11(227)
180	-0.06	-0.06(-0.06)	0.0(437)
180	-0.05	-0.07(-0.07)	0.02(383)
190	0.34	-0.05(-0.05)	0.39(78.0)
190	-0.03	-0.14(-0.14)	0.11(222)
190	-0.1	-0.13(-0.13)	0.02(418)
190	-0.11	-0.12(-0.12)	0.0(482)
200	0.35	-0.02(-0.02)	0.37(74.6)
200	0.1	-0.04(-0.04)	0.14(282)
200	-0.02	-0.02(-0.02)	0.0(605)
200	0.0	-0.02(-0.02)	0.03(522)
210	0.4	-0.01(-0.01)	0.41(81.1)
210	0.13	-0.01(-0.01)	0.15(290)
210	-0.01	-0.02(-0.02)	0.0(611)
210	0.01	-0.02(-0.02)	0.03(521)
220	0.5	0.05(0.05)	0.45(89.5)
220	0.17	0.02(0.02)	0.15(296)
220	0.03	0.02(0.02)	0.0(623)
220	0.05	0.02(0.02)	0.03(533)
230	0.49	0.02(0.02)	0.47(93.5)
230	0.12	-0.02(-0.02)	0.14(277)
230	0.02	0.01(0.01)	0.0(606)
230	0.03	0.01(0.01)	0.03(518)
